Subject Code,Subject Name,Course Code,Course Name,Course Description,Course Units,Prerequisites
CHN,Chinese (CHN),CHN 140,Readings in Classical Chinese,Study and philological analysis of selected texts from the first millennium of Imperial China.,4 units,Consent of instructor.
CHN,Chinese (CHN),CHN 150,"Fifth-Year Chinese: Selected Topics in Chinese Language, Literature, & Culture",Examination of literary works and scholarly essays on selected topics of Chinese culture and society. Development of a deep understanding of Chinese culture and society through sophisticated Chinese speaking and writing exercises.,4 units,CHN 120
CHN,Chinese (CHN),CHN 160,The Chinese Language,"Introduction to structural features of Chinese (Mandarin) sounds, lexicon, grammar, and writing (characters), as well as relevant dialectal and sociolinguistic issues of the language.",4 units,"CHN 006, CHN 003BL, CHN 003CN, CHN 004A, LIN 001"
CHN,Chinese (CHN),CHN 192,Chinese Internship,"Work experience in the Chinese language, with analytical term paper on a topic approved by instructor.",1-12 units,Upper division standing and consent of instructor.
CHN,Chinese (CHN),CHN 194H,Senior Thesis Honors Project,"Guided research, under the direction of a faculty member, leading to a senior honors thesis on a topic in Chinese literature, civilization, or language studies.",1-5 units,Consent of instructor; senior standing and qualification for the Chinese honors program.
CHN,Chinese (CHN),CHN 197T,Tutoring in Chinese,Leading of small voluntary discussion groups affiliated with one of the Department's regular courses.,1-4 units,Consent of Department.
CHN,Chinese (CHN),CHN 198,Directed Group Study,Directed group study.,1-5 units,Consent of instructor.
CHN,Chinese (CHN),CHN 199,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.,1-5 units,Consent of instructor.
CHN,Chinese (CHN),CHN 297,Directed Independent Study,Directed independent study on a topic culminating in a term paper. Independent studies may only be arranged with consent of the instructor and when graduate seminars are unavailable.,4 units,Consent of instructor.
CHN,Chinese (CHN),CHN 299,Research,Research.,1-12 units,Consent of instructor.
CHN,Chinese (CHN),CHN 396,Teaching Assistant Training Practicum,Any course taught by a graduate student under the direction of the Director.,1-4 units,Consent of instructor; graduate standing.
CDM,Cinema & Digital Media (CDM),CDM 001,Introduction to Film Studies,"Analysis of film form and narrative, including cinematography, editing, and sound. Issues in film studies including authorship, stardom, race, gender, class, and cultural identity. Introduction to selected cinematic movements and national film traditions.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 002,Introduction to Technocultural Studies,"Contemporary developments in the fine and performing arts, media arts, digital arts, and literature as they relate to technological and scientific practices.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 003,Media Archaeology,Evolution of media technologies and practices beginning in the 19th century as they relate to contemporary digital arts practices. Special focus on the reconstruction of the social and artistic possibilities of lost and obsolete media technologies.,4 units,None
CDM,Cinema & Digital Media (CDM),CDM 012,Introduction to Media Computation,Introduction to key computational ideas necessary to understand and produce digital media. Fundamentals of programming and analysis of how media are represented and transmitted in digital form. Aimed primarily at non-computer science students.,4 units,None
CDM,Cinema & Digital Media (CDM),CDM 020,Filmmaking Foundations,"Introduction to filmmaking concepts, principles, and methods. Emphasis on form, content and historical dialectic between classical narrative filmmaking conventions and artists' challenges to these conventions.",5 units,"CDM 001, CDM 003"
CDM,Cinema & Digital Media (CDM),CDM 020V,Filmmaking Foundations,"Introduction to filmmaking concepts, principles, and methods. Emphasis on form, content and historical dialectic between classical narrative filmmaking conventions and artists' challenges to these conventions.",5 units,"CDM 001, CDM 003"
CDM,Cinema & Digital Media (CDM),CDM 041A,History of Cinema from 1895-1945,"Examination of the cultural context of the emergence of cinema. Discussion of cinema as a product of the age of industrialization and conquest, as well as an element of urban culture, and mass transportation.",4 units,CDM 001
CDM,Cinema & Digital Media (CDM),CDM 041B,History of Cinema from 1945-Present,"Examines cinema from 1945 through the present, with focus on neo-realist, new wave and third-world movements. Examines social critique in cinema from studio system to New Wave, Cine Novo, postcolonial cinema and contemporary independent cinema.",4 units,CDM 001
CDM,Cinema & Digital Media (CDM),CDM 041BV,History of Cinema from 1945-Present,"Examines cinema from 1945 through the present, with focus on neo-realist, new wave and third-world movements.  Examines social critique in cinema from studio system to New Wave, Cine Novo, postcolonial cinema and contemporary independent cinema.",4 units,CDM 001
CDM,Cinema & Digital Media (CDM),CDM 072,Introduction to Games,"Introduction to the history, theory, and practice of play. Survey of both analog and digital games. Overview of gaming cultures, aesthetics, industries, and technologies.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 092,Internship,"Supervised internship, on or off campus, in the area of cinema and digital media.",1-12 units,Consent of instructor.
CDM,Cinema & Digital Media (CDM),CDM 098,Directed Group Study,Directed group study in cinema and digital media.,1-5 units,Consent of instructor.
CDM,Cinema & Digital Media (CDM),CDM 099,Special Study for Undergraduates,Special study for undergraduates in cinema and digital media.,1-5 units,Consent of instructor.
CDM,Cinema & Digital Media (CDM),CDM 100,Experimental Digital Cinema I,"Experimental approaches to the making of film and video in the age of digital technologies. Builds upon the foundation provided by CDM 020. Instruction in technical, conceptual, creative, and critical skills for taking a project from idea to fruition.",4 units,"CDM 020, ART 012"
CDM,Cinema & Digital Media (CDM),CDM 101,Experimental Digital Cinema II,"Continuation of CDM 100 with further exploration of digital cinema creation. Additional topics include new modes of distribution, streaming, installation and exhibition.",4 units,CDM 100
CDM,Cinema & Digital Media (CDM),CDM 103,Interactivity & Animation,"Fundamentals of creating interactive screen-based work. Theories of interactivity, linear versus non-linear structures & audience involvement and participation. Use of digital production tools to produce class projects.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 104,Documentary Production,"Traditional and new forms of documentary, with focus on technocultural issues. Skills and strategies for producing work in various media. Progression through all stages of production, from conception through post-production to critique.",4 units,"CDM 020, TCS 155"
CDM,Cinema & Digital Media (CDM),CDM 105,Feminist Media Production,"Media production as a mode of cultural criticism, furthering feminist and social justice goals. Fundamentals of camera, editing and distribution via a social engagement model. Study and hands-on response to key historic and contemporary feminist and social justice media discourses.",6 units,CDM 020
CDM,Cinema & Digital Media (CDM),CDM 107,Acting for Camera,Analysis and practice of acting skills required for camera work and digital media.,4 units,Consent of instructor.
CDM,Cinema & Digital Media (CDM),CDM 111,Community Media Production,"Use of video and new media tools to address social issues among neighborhood and community groups. Use basic video, sound, and lighting techniques while working with local groups in a group video project.",4 units,CDM 020
CDM,Cinema & Digital Media (CDM),CDM 113,Community Networks & Social Media,"Impact and implications of computer-based networks in community, civic, and social life. Subjects may include community-access computer sites, neighborhood wireless networks, the digital divide, open-source software, and citizen action.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 121,Introduction to Sonic Arts,Introduction to the use of sound within the arts. Techniques and aesthetics of experimental contemporary practices. Creation of original sound works.,4 units,None
CDM,Cinema & Digital Media (CDM),CDM 121V,Introduction to Sonic Arts,Introduction to use of sound within the arts. Techniques and aesthetics of experimental contemporary practices. Creation of original sound works.,4 units,None
CDM,Cinema & Digital Media (CDM),CDM 122,Intermediate Sonic Arts,"Techniques of recording, editing, mixing, and synthesis to combine voice, field recordings, and electronic signals. Incorporating live, recorded, found sounds to create multidimensional stories. Presentation of live performances, etc.",4 units,"CDM 121, CDM 121V"
CDM,Cinema & Digital Media (CDM),CDM 122V,Intermediate Sonic Arts,"Techniques of recording, editing, mixing, and synthesis to combine voice, field recordings, and electronic signals. Incorporating live, recorded, found sounds to create multidimensional stories. Presentation of live performances, etc.",4 units,"CDM 121, CDM 121V"
CDM,Cinema & Digital Media (CDM),CDM 123,Sight & Soundtrack,"Use of sound to articulate, lend mood or subconsciously underscore visual, environmental, or performative situations, combining music, voice, sound effects and other noises to create sound designs that enhance, alter or support action and movement.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 125,Advanced Sound: Performance & Improvisation,"Culmination of CDM sound courses. Focuses on performance and improvisation, culminating in a final public performance. Expectation of extensive reading and rehearsal outside of class time.",4 units,"CDM 121, CDM 121V, CDM 122, CDM 122V"
CDM,Cinema & Digital Media (CDM),CDM 130,Fundamentals of Computer Graphics,"Foundation course teaches the theory of three-dimensional computer graphics, including modeling, rendering and animation. Development of practical skills through the use of professional software to create computer graphics.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 131,Character Animation,"The art of character animation in three dimensional computer animation. Movement theory, principles of animation, animation timing. Development of technical and practical skills.",4 units,CDM 130
CDM,Cinema & Digital Media (CDM),CDM 135,Object-Oriented Programming for Artists,"Introduction to object-oriented programming for artists. Focus on understanding the metaphors and potential of object-oriented programming for sound, video, performance, and interactive installations.",4 units,CDM 002
CDM,Cinema & Digital Media (CDM),CDM 136,Electronics for Artists,Creative application of electronic technology relevant to media and fine arts involving both electronic principles and hands-on application.,4 units,None
CDM,Cinema & Digital Media (CDM),CDM 137,Topics in Virtuality,"Social, political, economic, and aesthetic factors in virtual reality. Artificial environments, telepresence, and simulated experience. Focus on contemporary artists' work and writing.",4 units,CDM 002
CDM,Cinema & Digital Media (CDM),CDM 151,Media Theory,"Critical and theoretical approaches to the emergence of new technologies since the invention of photography. Examine various approaches to media (formalist, semiotic, structuralist, Frankfurt School, cybernetics, visual and gamer theory).",5 units,"CDM 002, CDM 003"
CDM,Cinema & Digital Media (CDM),CDM 156,"Epic Television: The Golden Age of TV? Sopranos, Wire, Girls, Walking Dead","Critically celebrated scripted television since the mid-1990s. Key themes including class, ethnicity, race, violence, and US politics. Major developments in the medium’s history as context for recent wave of epic television.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 158,Technology & the Modern American Body,History and analysis of relationships between human bodies and technologies in modern society. Dominant and eccentric examples of how human bodies and technologies influence one another and reveal underlying cultural assumptions.,4 units,None
CDM,Cinema & Digital Media (CDM),CDM 163,Art & Cinema: Between the White Cube & the Black Box,"Current debates between cinema studies and contemporary art. Issues covered include, experimental modes of filming, montaging, installing, screening, and displaying images between the White Cube (gallery/museum) and the Black Box (cinema).",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 163V,Art & Cinema: Between the White Cube & the Black Box,"Current debates between cinema studies and contemporary art. Experimental modes of filming, montaging, installing, screening, and displaying images between the White Cube (gallery/museum) and the Black Box (cinema).",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 165E,Nazi & Fascist Cinema: Film & other Visual Media,"Analysis of nefarious and noxious cultural products in history: films made under the Nazis and other fascists, 1933-1945. Questions at heart of humanistic studies: relationship of culture to propaganda, politics, and even unfathomable crime.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 166,Topics in U.S. Film History,"Study of an aspect of American film history (such as the silent era; the studio system; U.S. avant-garde cinema), including the influences of technological, economic, regulatory, cultural, and artistic forces.",4 units,CDM 001
CDM,Cinema & Digital Media (CDM),CDM 167,Topics in Film Genres,"Study of one or more of the film genres (such as musicals, film noir, screwball comedy, or westerns), including genre theory and the relationship of the genre(s) to culture, history, and film industry practices. May be taught abroad.",4 units,CDM 001
CDM,Cinema & Digital Media (CDM),CDM 171,Game Studies Seminar,"Theory and methods for researching games, play, media, and culture. Reading, writing, and discussion about playable media.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",4 units,"CDM 072, ENL 072"
CDM,Cinema & Digital Media (CDM),CDM 173,Introduction to Analog Game Design,"Fundamental theories and practices of analog game design. Pen & paper, dice & cards, checkers & chess to riddles & stories, track & field, and other forms of play. Prototype, playtest, and presentation of original analog games.",4 units,"CDM 072, CDM 172"
CDM,Cinema & Digital Media (CDM),CDM 174,Special Topics in Analog Game Design,Special topics in analog game design for upper division students.,4 units,"CDM 072, CDM 172, CDM 173, CDM 175, CDM 177"
CDM,Cinema & Digital Media (CDM),CDM 175,Introduction to Digital Game Development,"Digital game development. Theories of control, interface, game feel, glitch, mechanics. Design, demo, and distribution of new digital games.",4 units,"CDM 072, CDM 172"
CDM,Cinema & Digital Media (CDM),CDM 176,Special Topics in Digital Game Development,Special topics in digital game development for upper division students.,4 units,"CDM 072, CDM 172, CDM 173, CDM 175, CDM 177"
CDM,Cinema & Digital Media (CDM),CDM 177,Introduction to Game Programming,Introduction to computer science concepts and programming practices for video games.,4 units,"CDM 072, CDM 172"
CDM,Cinema & Digital Media (CDM),CDM 178,Special Topics in Game Programming,Special topics in game programming for upper division students.,4 units,"CDM 072, CDM 172, CDM 173, CDM 175, CDM 177"
CDM,Cinema & Digital Media (CDM),CDM 189,Special Topics in Cinema & Digital Media,Special topics in cinema & digital media.,4 units,"CDM 001, CDM 002"
CDM,Cinema & Digital Media (CDM),CDM 190,Research Methods in Cinema & Digital Media,"Introduction to basic research methods for Cinema and Digital Media; e.g., electronic & archived images, sounds & data, etc.",4 units,None
CDM,Cinema & Digital Media (CDM),CDM 192,Internship,"Supervised internship, on or off campus, in the area of cinema and digital media.",1-12 units,Consent of instructor; upper division standing.
CDM,Cinema & Digital Media (CDM),CDM 195HA,Honors Project in Cinema & Digital Media,"Directed reading, research and writing culminating in the completion of a senior honors thesis or significant creative project under direction of faculty sponsor.",1-5 units,Consent of instructor; GPA of at least 3.500; senior standing.
CDM,Cinema & Digital Media (CDM),CDM 195HB,Honors Project in Cinema & Digital Media,"Directed reading, research and writing culminating in the completion of a senior honors thesis or significant creative project under direction of faculty sponsor.",1-5 units,Consent of instructor; GPA of at least 3.500; senior standing.
CDM,Cinema & Digital Media (CDM),CDM 197T,Tutoring in Cinema & Digital Media,Leading small voluntary discussion groups affiliated with departmental courses under the supervision of the course instructor.,1-5 units,Consent of instructor. Consent of Department Chair.
CDM,Cinema & Digital Media (CDM),CDM 198,Directed Group Study,Directed group study in cinema and digital media. For students with upper division standing. May be taught abroad.,1-5 units,Consent of instructor.
CDM,Cinema & Digital Media (CDM),CDM 199,Special Study for Advanced Undergraduates,Special study in cinema and digital media. For advanced undergraduates with upper division standing.,1-5 units,Consent of instructor.
CDM,Cinema & Digital Media (CDM),CDM 396,Teaching Assistant Training Practicum,Teaching assistant training practicum.,1-4 units,Consent of instructor; graduate standing.
CTS,Cinema & Technocultural Studies (CTS),CTS 040A,"Media History 1, Guttenberg to Oppenheimer","History of Media to 1945, with particular focus on mechanically reproduced mass media technologies including the printing press, the newspaper, photography, cinema, radio and early computing technology. Analysis of inter-related cultural and political topics.",4 units,None
CTS,Cinema & Technocultural Studies (CTS),CTS 040B,Media History 2 1945-Present,"History of media from 1945 to present, with particular focus on the development of the computer, digital network and Internet technologies in the context of other media infrastructures like radio, television and satellite networks. Analysis of inter-related cultural/political topics.",4 units,CTS 040A
CTS,Cinema & Technocultural Studies (CTS),CTS 116,Design on Screen,"Analysis of the contribution of outstanding designers for cinema, television and filmed entertainment. Study of diverse aesthetic theories of production design and art direction, costume design, or cinematography. Introductory principles and practice, history.",4 units,None
CTS,Cinema & Technocultural Studies (CTS),CTS 124E,Costume Design for Film,"Theory and practice of the art and business of film costume design. Script analysis, costume research, developing design concepts, budgeting, and current production practices and methods. Execution of designs for period and contemporary films. Viewing of current films.",4 units,DRA 024
CTS,Cinema & Technocultural Studies (CTS),CTS 146A,Modern Iranian Cinema,"Iranian cinema of the 20th century in the context of profound cultural and social changes in Iran especially since the Iranian Revolution. Productions by representative directors such as Kiarostami, Makhmalbaf, Bahram Beizaie are included. Knowledge of Persian not required.",4 units,"Upper division standing, or consent of instructor."
CTS,Cinema & Technocultural Studies (CTS),CTS 146B,Modern South Asia Cinema,"South Asian cinema of last 100 years in the context of cultural, social, and political changes. South Asian history, Independence, Partition, urban life, class, migration, postcolonial identity, diaspora, gender, sexuality, religion, sport, performance, etc.",4 units,Upper division standing or consent of instructor.
CTS,Cinema & Technocultural Studies (CTS),CTS 148B,Japanese Literature on Film,"Survey of films based on works of Japanese literature, emphasis on pre-modern and early modern texts. Introduction to major directors of Japan, with a focus on cinematic adaptation. Lectures and readings in English. Films in Japanese with English subtitles.",4 units,None
CTS,Cinema & Technocultural Studies (CTS),CTS 162,Surveillance Technologies & Social Media,"Study of the ubiquitous presence of CCTV, face recognition software, global tracking systems, biosensors, and data mining practices that have made surveillance part of our daily life. Study boundaries between security and control, information and spying.",4 units,TCS 001 or STS 020.
ECI,Civil & Environmental Engineering (ECI),ECI 003,Civil & Environmental Infrastructure & Society,Introduction to civil infrastructure and its relationship with society and the natural environment. Exposure to innovative research on civil engineering and environmental systems. Participation in laboratory experiments illustrative of the solution of representative but simplified engineering problems.,4 units,MAT 021A
ECI,Civil & Environmental Engineering (ECI),ECI 016,Spatial Data Analysis,Computer-aided design and geographic information systems in civil engineering practice.,2 units,None
ECI,Civil & Environmental Engineering (ECI),ECI 040,Introduction to Environmental Engineering,"This version has ended; see updated course, below.Course Description: Introduction to topics in environmental engineering; discussion on influence of literary work, art, and media on the evolution of environmental engineering practice, relevant laws, and regulations; presentations of historical case studies.",4 units,CHE 002B
ECI,Civil & Environmental Engineering (ECI),ECI 090X,Lower Division Seminar,Examination of a special topic in a small group setting.,1-4 units,Consent of instructor.
ECI,Civil & Environmental Engineering (ECI),ECI 092,Internship for Engineering,Supervised work experience in civil engineering.,1-5 units,Lower division standing; approval of project prior to period of internship.
ECI,Civil & Environmental Engineering (ECI),ECI 098,Directed Group Study,Directed group study.,1-5 units,Consent of instructor. Lower division standing.
ECI,Civil & Environmental Engineering (ECI),ECI 099,Special Study for Undergraduates,Special study for undergraduates.,1-5 units,Consent of instructor. Lower division standing.
ECI,Civil & Environmental Engineering (ECI),ECI 100,Introduction to Fluid Mechanics for Civil & Environmental Engineers,"Fluid flow in civil & environmental engineering, basis for design, buoyancy, hydrostatics, gravity dams, hydraulic modeling: similarity & scaling, conservation laws, flow in bends, nozzles, pipes, pumps, turbines, complimentary lab experiments.",4 units,"ENG 035, MAT 022B, MAT 027B, PHY 009B"
ECI,Civil & Environmental Engineering (ECI),ECI 101,Transfer Transition for Civil & Environmental Engineering,"Introduction for transfer students to the Department of Civil and Environmental Engineering, civil and environmental engineering disciplines, and active areas of research in the department. Interaction with faculty in the department and campus student services that can support them while at UC Davis.",4 units,None
ECI,Civil & Environmental Engineering (ECI),ECI 114,Probabilistic Systems Analysis for Civil & Environmental Engineers,Probabilistic concepts and models in engineering. Statistical analysis of engineering experimental and field data. Introduction to stochastic processes and models of engineering systems.,4 units,MAT 021C
ECI,Civil & Environmental Engineering (ECI),ECI 115,Computer Methods in Civil & Environmental Engineering,"Presentation, implementation and application of numerical algorithms and computer models for the solution of practical problems in Civil and Environmental Engineering.",4 units,"ENG 006, ECS 032A, MAT 022B, MAT 027B"
ECI,Civil & Environmental Engineering (ECI),ECI 123,Urban Systems & Sustainability,"This version has ended; see updated course, below.Course Description: Systems-level approach of how to evaluate and then modify sustainability of urban systems based on interaction with natural environments. Topics include: definition/metrics of urban sustainability; system analyses of urban systems; enabling technology, policies, legislation; measures and modification of ecological footprints.",4 units,Upper division standing.
ECI,Civil & Environmental Engineering (ECI),ECI 125,Building Energy Performance,"Mechanisms of energy consumption in buildings including end uses, thermal loads, ventilation, air infiltration, thermal energy distribution, and HVAC systems; energy performance simulation; methods and strategies of energy efficiency.",4 units,Upper division standing in Engineering.
ECI,Civil & Environmental Engineering (ECI),ECI 130,Structural Analysis,"Elastic structural analysis of determinate and indeterminate trusses, beams and frames. Plastic bending and limit analysis.",4 units,"ENG 104, MAT 022A, MAT 027A"
ECI,Civil & Environmental Engineering (ECI),ECI 131,Matrix Structural Analysis,Matrix formulation and computer analysis of statically indeterminate structures. Stiffness and flexibility formulations for elastic structures. Finite element methods for elasticity and bending problems.,4 units,"ENG 104, ENG 006"
ECI,Civil & Environmental Engineering (ECI),ECI 132,Structural Design: Metallic Elements,"Design of metallic beams, columns, and other members for various types of loading and boundary conditions; design of connections between members; member performance within structural systems.",4 units,ECI 130
ECI,Civil & Environmental Engineering (ECI),ECI 133,Structure & Properties of Civil Engineering Materials,"Structures & properties of common civil engineering materials including concrete, alloys, plastics, and wood. Mechanical behavior of elastic & plastic response to loading, thermal conductivity and resistivity, diffusivity, and deterioration mechanisms.",4 units,"CHE 002A, ENG 035"
ECI,Civil & Environmental Engineering (ECI),ECI 134,Structural Loads: Calculation & Modeling,"Structural analysis process and model idealization; design codes, standards, and guidelines (e.g., IBC & ASCE 7); load paths for vertical and horizontal loads; load cases and load combinations; modeling of loads using finite element software; dead and live loads; snow loads; wind loads; climate change effects on snow and wind loads.",4 units,ECI 130
ECI,Civil & Environmental Engineering (ECI),ECI 135,Structural Design:  Concrete Elements,"Strength design procedures for columns, rectangular beams, T-beams and beams of general cross-section. Building code requirements for bending, shear, axial load, combined stresses and bond. Introduction to prestressed concrete.",4 units,ECI 130
ECI,Civil & Environmental Engineering (ECI),ECI 136,Building Design,"Design of a building structure for a specific need under the multiple constraints of safety, serviceability, cost and aesthetics.",4 units,"ECI 130, ECI 131, ECI 135, ECI 132"
ECI,Civil & Environmental Engineering (ECI),ECI 137,Construction Principles & Project Management,"Project management, with civil engineering construction and design applications, including project scope, schedule, resources, cost, quality, risk, and control. Construction industry overview. Interactions between planning, design, construction, operations. Construction operations analysis. Contract issues. Project management software, field trips, guest lectures.",4 units,None
ECI,Civil & Environmental Engineering (ECI),ECI 138,Earthquake Loads on Structures,"Determination of loads on structures due to earthquakes. Methods of estimating equivalent static lateral forces; response spectrum and time history analysis. Concepts of mass, damping and stiffness for typical structures. Design for inelastic behavior. Numerical solutions and Code requirements.",4 units,"ECI 130, ECI 131"
ECI,Civil & Environmental Engineering (ECI),ECI 139,Advanced Structural Mechanics,"Review of stress, strain, equilibrium, compatibility, and elastic material behavior. Plane stress and plane strain problems in elasticity; energy methods. Theories for unsymmetric bending, straight and curved beams. Beams on elastic foundations; stresses in plates and shells; elastic stability.",4 units,ENG 104
ECI,Civil & Environmental Engineering (ECI),ECI 140A,Environmental Analysis of Aqueous Systems,"Introduction to ""wet chemical"" and instrumental techniques commonly used in the examination of water and wastewater and associated data analysis.",4 units,"CHE 002B, ECI 040"
ECI,Civil & Environmental Engineering (ECI),ECI 140B,Chemical Principles for Environmental Engineers,"This version has ended; see updated course, below.Course Description: Aqueous chemistry; equilibrium relationships; carbonate system; thermodynamics; kinetics & rate laws; precipitation, adsorption, & volatilization phenomenon; oxidation & reduction reactions; pH, pE and predominance diagrams; organic chemicals.",4 units,CHE 002B
ECI,Civil & Environmental Engineering (ECI),ECI 140C,Biological Principles for Environmental Engineering,"Fundamental microbiology concepts for environmental engineers; provides background needed for the application of water and wastewater treatment, bioremediation, air pollution control and biotransformations in environmental engineered systems.",4 units,"ECI 140B, ECI 040"
ECI,Civil & Environmental Engineering (ECI),ECI 140CN,Water & Wastewater Treatment System Design,Evaluation and design of water and wastewater treatment systems.,4 units,"ECI 140A, ECI 140B"
ECI,Civil & Environmental Engineering (ECI),ECI 140D,Water & Wastewater Treatment System Design,Evaluation and design of water and wastewater treatment systems.,4 units,"ECI 140B, ECI 140C, ECI 040"
ECI,Civil & Environmental Engineering (ECI),ECI 141,Engineering Hydraulics,"Nature of flow of a real fluid; flow in pipes; open channel flow; turbomachinery; fluid forces on objects: boundary layers, lift and drag.",3 units,"ENG 103, ECI 100"
ECI,Civil & Environmental Engineering (ECI),ECI 141L,Engineering Hydraulics Laboratory,"Laboratory experiments and demonstrations on flow measurements, sluice gates, hydraulic jump, flow characteristics, and centrifugal pumps.",1 unit,ECI 141
ECI,Civil & Environmental Engineering (ECI),ECI 142,Engineering Hydrology,"The hydrologic cycle. Evapotranspiration, interception, depression storage and infiltration. Streamflow analysis and modeling. Flood routing through channels and reservoirs. Frequency analysis of hydrologic variables. Precipitation analysis for hydrologic design. Hydrologic design.",4 units,ECI 141
ECI,Civil & Environmental Engineering (ECI),ECI 144,Groundwater Systems Design,"Groundwater occurrence, distribution, and movement; groundwater flow systems; radial flow to wells and aquifer testing; aquifer management; groundwater contamination; solute transport by groundwater; fate and transport of subsurface contaminants. Groundwater supply and transport modeling.",4 units,ECI 141
ECI,Civil & Environmental Engineering (ECI),ECI 145,Hydraulic Structure Design,"Project-based course on the design of an integrated urban drainage system with focus on consideration of design alternatives, multiple realistic constraints, quantification of uncertainty, codes and standards, technical drawing and cost analysis.",4 units,ECI 141
ECI,Civil & Environmental Engineering (ECI),ECI 146,Water Resources Simulation,"Computer simulation techniques in the analysis, design and operation of surface water systems; modeling concepts and practices with application to surface runoff; water quality in rivers and streams and dispersion of contaminants in water bodies.",4 units,ECI 141
ECI,Civil & Environmental Engineering (ECI),ECI 149,Air Pollution,"Physical and technical aspects of air pollution. Factors that determine local, regional, and global air quality; climate change; and physical and chemical properties of pollutants.",4 units,"MAT 021D, MAT 022B, MAT 027B, CHE 002B, ATM 121A, ENG 103, ECI 100"
ECI,Civil & Environmental Engineering (ECI),ECI 149L,Air Pollution Lab,Laboratory characterization of air pollutants; data analysis; experimental design.,1 unit,ECI 149
ECI,Civil & Environmental Engineering (ECI),ECI 149N,Air Pollution,"Physical and technical aspects of air pollution. Factors that determine local, regional, and global air quality; climate change; and physical and chemical properties of pollutants.",4 units,"MAT 021D, MAT 022B, MAT 027B, CHE 002B, ATM 121A, ENG 103, ECI 100"
ECI,Civil & Environmental Engineering (ECI),ECI 153,Deterministic Optimization & Design,"Operations research. Optimization techniques such as linear programming, dynamic programming, and non-linear programming. Applications in civil engineering disciplines, including multiple realistic constraints, through computer-based course projects.",4 units,"MAT 021C, MAT 022A, MAT 027A"
ECI,Civil & Environmental Engineering (ECI),ECI 155,Water Resources Engineering Planning,"Basic engineering planning concepts; role of engineering, economic, environmental and social information and analysis; institutional, political and legal aspects. Case studies and computer models illustrate the planning of water resource systems.",4 units,"ENG 106, ECN 001A, ECN 001AY, ECN 001AV, ECI 114"
ECI,Civil & Environmental Engineering (ECI),ECI 161,Transportation System Operations,Principles of transportation system operations; traffic characteristics and methods of measurement; models of transportation operations and congestion applied to urban streets and freeways.,4 units,"MAT 021C, PHY 009A"
ECI,Civil & Environmental Engineering (ECI),ECI 162,Transportation Infrastructure Design,"Foundation in roadway design with a multimodal perspective. Transportation content related to sight distance, horizontal and vertical roadway design. Holistic perspective to design for multiple roadway users including bicycles, pedestrians, vehicle sharing, and public transit.",4 units,"PHY 009A, MAT 021B"
ECI,Civil & Environmental Engineering (ECI),ECI 163,Energy & Environmental Aspects of Transportation,"This version has ended; see updated course, below.Course Description: Engineering, economic, and systems planning concepts. Analysis and evaluation of energy, air quality and selected environmental attributes of transportation technologies. Strategies for reducing pollution and petroleum consumption in light of institutional and political constraints. Evaluation of vehicle emission models.",4 units,Upper division standing in engineering or economics or environmental studies.
ECI,Civil & Environmental Engineering (ECI),ECI 164,Introduction to Electric Vehicles,"Interdisciplinary exploration of electric vehicles. Underlying technology, challenges, and societal impacts. Battery technology, vehicle efficiency, charging infrastructure, total cost of ownership, consumer and travel behavior, life-cycle emissions, and policy landscape. Perspectives from engineering, physics, chemistry, economics, finance, public policy, and social sciences.",4 units,None
ECI,Civil & Environmental Engineering (ECI),ECI 165,Transportation Policy,"Transportation and associated environmental problems confronting urban areas, and prospective technological and institutional solutions. Draws upon concepts and methods from economics, engineering, political science and environmental studies.",4 units,None
ECI,Civil & Environmental Engineering (ECI),ECI 171,Soil Mechanics,"Soil formations, mass-volume relationships, soil classification, effective stress, soil-water-void relationships, compaction, seepage, capillarity, compressibility, consolidation, strength, states of stress and failure, lateral earth pressures, and slope stability.",4 units,"ENG 103, ECI 100, ENG 104, ECI 171L, ECI 171L"
ECI,Civil & Environmental Engineering (ECI),ECI 171L,Soil Mechanics Laboratory,"Laboratory studies utilizing standard testing methods to determine physical, mechanical and hydraulic properties of soil and demonstration of basic principles of soil behavior.",1 unit,"ECI 171, ECI 171"
ECI,Civil & Environmental Engineering (ECI),ECI 173,Foundation Design,"Foundation analysis and design, including site characterization, evaluation of shallow and deep foundation alternatives, evaluation of bearing capacity and settlements, design of retaining structures, and case-based design experiences.",4 units,ECI 171
